filename	url	size_bytes	size_gb	file_type	likely_content	required_for_gex	required_for_bcr	download_decision	decision_reason	local_path	source_container	sha256
GSM9524783_P1_PT_barcodes.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524783_P1_PT_barcodes.tsv.gz	1742587	0.0016	barcodes	barcodes	True	False	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524783_P1_PT_barcodes.tsv.gz	GSE319733_RAW.tar	e0621905217bd31f0e92e41341fb0ece7fcafcfe2504f88ff4a7bfc317db772c
GSM9524783_P1_PT_features.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524783_P1_PT_features.tsv.gz	294478	0.0003	features	features	True	False	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524783_P1_PT_features.tsv.gz	GSE319733_RAW.tar	a698fb66875f9f5c2c19a83bd95193d2cef39168436495505041941b55c24a3f
GSM9524783_P1_PT_matrix.mtx.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524783_P1_PT_matrix.mtx.gz	82348634	0.0767	matrix	matrix	True	False	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524783_P1_PT_matrix.mtx.gz	GSE319733_RAW.tar	8d0b0ec0ae4f5a6b35aa7fe59323b7f6f1b4a6ae20328a19c00d957a38b5a6a2
GSM9524784_GEO_Metadata_PT2.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524784_GEO_Metadata_PT2.csv.gz	58810	0.0001	metadata	metadata	True	False	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524784_GEO_Metadata_PT2.csv.gz	GSE319733_RAW.tar	b78123786c2de9460058e58ee677cfa128150b51e53257ea99c9c28f622c6a98
GSM9524784_P2_PT_barcodes.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524784_P2_PT_barcodes.tsv.gz	1250835	0.0012	barcodes	barcodes	True	False	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524784_P2_PT_barcodes.tsv.gz	GSE319733_RAW.tar	def2166e5ae3df31af3e4291b52ef3bb9a60c640cc60f7fe379a0c3b055250ad
GSM9524784_P2_PT_features.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524784_P2_PT_features.tsv.gz	294478	0.0003	features	features	True	False	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524784_P2_PT_features.tsv.gz	GSE319733_RAW.tar	a698fb66875f9f5c2c19a83bd95193d2cef39168436495505041941b55c24a3f
GSM9524784_P2_PT_matrix.mtx.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524784_P2_PT_matrix.mtx.gz	29783364	0.0277	matrix	matrix	True	False	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524784_P2_PT_matrix.mtx.gz	GSE319733_RAW.tar	1038d83727b9b9504dd2a8cc62f4d47524d345cdd6754c6cbd7b1b07a7b34ec7
GSM9524785_GEO_Metadata_PT3.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524785_GEO_Metadata_PT3.csv.gz	156659	0.0001	metadata	metadata	True	False	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524785_GEO_Metadata_PT3.csv.gz	GSE319733_RAW.tar	0123f8a3e919c3c32d027f27ee6580e830aca935043a70ff5c6b5ffc55ba1145
GSM9524785_P3_PT_barcodes.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524785_P3_PT_barcodes.tsv.gz	1332982	0.0012	barcodes	barcodes	True	False	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524785_P3_PT_barcodes.tsv.gz	GSE319733_RAW.tar	65aac6b1fe8c6a50e085e6bc75b3692cb1781a8680430587c96122288b41a153
GSM9524785_P3_PT_features.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524785_P3_PT_features.tsv.gz	294478	0.0003	features	features	True	False	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524785_P3_PT_features.tsv.gz	GSE319733_RAW.tar	a698fb66875f9f5c2c19a83bd95193d2cef39168436495505041941b55c24a3f
GSM9524785_P3_PT_matrix.mtx.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524785_P3_PT_matrix.mtx.gz	58031486	0.054	matrix	matrix	True	False	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524785_P3_PT_matrix.mtx.gz	GSE319733_RAW.tar	1ac96fc4a053ebff27e6fd50228931205cb54799ffefda8868a2802542be874f
GSM9524786_GEO_Metadata_PT4.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524786_GEO_Metadata_PT4.csv.gz	84586	0.0001	metadata	metadata	True	False	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524786_GEO_Metadata_PT4.csv.gz	GSE319733_RAW.tar	354eda33c049580ac895c454387a838284954e40fcb4b82bd4a3f8cc449745ad
GSM9524786_P4_PT_barcodes.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524786_P4_PT_barcodes.tsv.gz	43706	0.0	barcodes	barcodes	True	False	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524786_P4_PT_barcodes.tsv.gz	GSE319733_RAW.tar	cd486df72f675c028f4153dd07234dc6cb33c08999265d692c2d095723898286
GSM9524786_P4_PT_features.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524786_P4_PT_features.tsv.gz	333437	0.0003	features	features	True	False	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524786_P4_PT_features.tsv.gz	GSE319733_RAW.tar	053df182f99aa09c31be353c1f7c9bcda1c1364b4f6f68ec00734af06a4b23fb
GSM9524786_P4_PT_matrix.mtx.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524786_P4_PT_matrix.mtx.gz	42568949	0.0396	matrix	matrix	True	False	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524786_P4_PT_matrix.mtx.gz	GSE319733_RAW.tar	b78fe9cc8d7319e225aefa214ca7c524829437fc42cb9cb9550dd0b984cbc761
GSM9524787_P1_PT_all_contig_annotations.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524787_P1_PT_all_contig_annotations.csv.gz	3879952	0.0036	vdj_contig	vdj_contig	False	True	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524787_P1_PT_all_contig_annotations.csv.gz	GSE319733_RAW.tar	ed734ef77190b18fca2ff58828c41d139be0bfe17d48b1c3fa785fc12a57646f
GSM9524788_P2_PT_all_contig_annotations.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524788_P2_PT_all_contig_annotations.csv.gz	3202876	0.003	vdj_contig	vdj_contig	False	True	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524788_P2_PT_all_contig_annotations.csv.gz	GSE319733_RAW.tar	52dd53a02d0c3bcc047f4e8d688508c3e769b5886a7212f99e16caf21db40b7f
GSM9524789_P3_PT_all_contig_annotations.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524789_P3_PT_all_contig_annotations.csv.gz	3251439	0.003	vdj_contig	vdj_contig	False	True	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524789_P3_PT_all_contig_annotations.csv.gz	GSE319733_RAW.tar	2073a8599daa740b938a860c578a5d60dfff7bb939d81be64acfa85ae5907fa8
GSM9524790_P4_PT_all_contig_annotations.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524790_P4_PT_all_contig_annotations.csv.gz	1451381	0.0014	vdj_contig	vdj_contig	False	True	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524790_P4_PT_all_contig_annotations.csv.gz	GSE319733_RAW.tar	8820c7e46b4fdd7335a3b8e1623e1626fc51dcf6ebdbf94d62421f395f4fe75b
