gene	patient_id	biological_sample_id	tissue	cell_type	mean_expression	detection_rate	cell_count
ITGB1	P2	P2_PT	PT	myeloid	0.2428649481597	0.10126582278481	79
ITGB1	P2	P2_PT	PT	endothelial	0.289598112121869	0.166666666666667	12
ITGB1	P2	P2_PT	PT	epithelial	0	0	4
MMP14	P2	P2_PT	PT	B_cell	0.00275965483999677	0.00138888888888889	720
MMP14	P2	P2_PT	PT	T_NK	0	0	19
MMP14	P2	P2_PT	PT	plasma_cell	0.0170739788247767	0.00626959247648903	319
MMP14	P2	P2_PT	PT	other	0	0	32
MMP14	P2	P2_PT	PT	myeloid	0.197630794928334	0.0886075949367089	79
MMP14	P2	P2_PT	PT	endothelial	0	0	12
MMP14	P2	P2_PT	PT	epithelial	0	0	4
CD209	P2	P2_PT	PT	B_cell	0	0	720
CD209	P2	P2_PT	PT	T_NK	0	0	19
CD209	P2	P2_PT	PT	plasma_cell	0	0	319
CD209	P2	P2_PT	PT	other	0	0	32
CD209	P2	P2_PT	PT	myeloid	0.0219708855265518	0.0126582278481013	79
CD209	P2	P2_PT	PT	endothelial	0	0	12
CD209	P2	P2_PT	PT	epithelial	0	0	4
C1QA	P2	P2_PT	PT	B_cell	0.0184895053025572	0.00694444444444444	720
C1QA	P2	P2_PT	PT	T_NK	0	0	19
C1QA	P2	P2_PT	PT	plasma_cell	0.00837402386817801	0.00313479623824451	319
C1QA	P2	P2_PT	PT	other	0	0	32
C1QA	P2	P2_PT	PT	myeloid	3.03782604684076	0.746835443037975	79
C1QA	P2	P2_PT	PT	endothelial	0	0	12
C1QA	P2	P2_PT	PT	epithelial	0	0	4
C1QB	P2	P2_PT	PT	B_cell	0.0192814457037784	0.00694444444444444	720
C1QB	P2	P2_PT	PT	T_NK	0	0	19
C1QB	P2	P2_PT	PT	plasma_cell	0.0136070598386683	0.00313479623824451	319
C1QB	P2	P2_PT	PT	other	0	0	32
C1QB	P2	P2_PT	PT	myeloid	2.7682790590595	0.734177215189873	79
C1QB	P2	P2_PT	PT	endothelial	0	0	12
C1QB	P2	P2_PT	PT	epithelial	0	0	4
C1QC	P2	P2_PT	PT	B_cell	0.00231896773948216	0.00138888888888889	720
C1QC	P2	P2_PT	PT	T_NK	0	0	19
C1QC	P2	P2_PT	PT	plasma_cell	0.0368783416376127	0.00940438871473354	319
C1QC	P2	P2_PT	PT	other	0	0	32
C1QC	P2	P2_PT	PT	myeloid	3.40725323978625	0.848101265822785	79
C1QC	P2	P2_PT	PT	endothelial	0	0	12
C1QC	P2	P2_PT	PT	epithelial	0	0	4
SPP1	P3	P3_LN	LN	B_cell			0
SPP1	P3	P3_LN	LN	endothelial			0
SPP1	P3	P3_LN	LN	plasma_cell			0
CD44	P3	P3_LN	LN	B_cell	1.01832359583962	0.578223495702006	1745
CD44	P3	P3_LN	LN	endothelial	0	0	1
CD44	P3	P3_LN	LN	plasma_cell	0.215809884460883	0.2	10
ITGB1	P3	P3_LN	LN	B_cell	0.260456138049553	0.168481375358166	1745
ITGB1	P3	P3_LN	LN	endothelial	0	0	1
ITGB1	P3	P3_LN	LN	plasma_cell	0.0887555372131455	0.1	10
MMP14	P3	P3_LN	LN	B_cell	0	0	1745
MMP14	P3	P3_LN	LN	endothelial	0	0	1
MMP14	P3	P3_LN	LN	plasma_cell	0	0	10
CD209	P3	P3_LN	LN	B_cell			0
CD209	P3	P3_LN	LN	endothelial			0
CD209	P3	P3_LN	LN	plasma_cell			0
C1QA	P3	P3_LN	LN	B_cell	0	0	1745
C1QA	P3	P3_LN	LN	endothelial	0	0	1
C1QA	P3	P3_LN	LN	plasma_cell	0	0	10
C1QB	P3	P3_LN	LN	B_cell	0	0	1745
C1QB	P3	P3_LN	LN	endothelial	0	0	1
C1QB	P3	P3_LN	LN	plasma_cell	0	0	10
C1QC	P3	P3_LN	LN	B_cell	0	0	1745
C1QC	P3	P3_LN	LN	endothelial	0	0	1
C1QC	P3	P3_LN	LN	plasma_cell	0	0	10
SPP1	P3	P3_PT	PT	plasma_cell	0.00682857356987462	0.00510204081632653	196
SPP1	P3	P3_PT	PT	B_cell	0.00163545693620714	0.00105086170659941	4758
SPP1	P3	P3_PT	PT	T_NK	0	0	135
SPP1	P3	P3_PT	PT	endothelial	0	0	14
SPP1	P3	P3_PT	PT	myeloid	0.422077894499293	0.0869565217391304	23
SPP1	P3	P3_PT	PT	other	0	0	22
SPP1	P3	P3_PT	PT	epithelial	0	0	5
CD44	P3	P3_PT	PT	plasma_cell	0.35394018047206	0.158163265306122	196
CD44	P3	P3_PT	PT	B_cell	0.873265276775327	0.489281210592686	4758
CD44	P3	P3_PT	PT	T_NK	0.914410967129886	0.511111111111111	135
CD44	P3	P3_PT	PT	endothelial	0.570730408931733	0.285714285714286	14
CD44	P3	P3_PT	PT	myeloid	0.23367771973535	0.0869565217391304	23
CD44	P3	P3_PT	PT	other	0.744263352481267	0.227272727272727	22
CD44	P3	P3_PT	PT	epithelial	0	0	5
ITGB1	P3	P3_PT	PT	plasma_cell	0.305350237698955	0.158163265306122	196
ITGB1	P3	P3_PT	PT	B_cell	0.5733036155371	0.32072299285414	4758
ITGB1	P3	P3_PT	PT	T_NK	0.702388632583641	0.407407407407407	135
